customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,segment,source_updated_at
1001,John,Rose,nfuller@example.com,349-904-0627,921 Wilson Island,Port Martinburgh,IL,06945,Bronze,2026-08-15T13:19:43.035237+00:00
1002,Evan,Torres,burtonallison@example.org,+1-378-488-9846x34225,042 Matthews Dam Apt. 410,Priceside,FL,33113,Bronze,2026-08-15T13:19:43.035237+00:00
1003,Natalie,Anderson,fernandezdawn@example.org,385.634.3574x670,8637 Rose Route Apt. 537,North William,NM,29463,Silver,2026-08-15T13:19:43.036237+00:00
1004,Cathy,Lawrence,hgeorge@example.org,001-369-851-3062x923,3816 Howard Stream,North Tonyaburgh,WV,36582,Bronze,2026-08-15T13:19:43.036237+00:00
1005,Alejandra,Green,gjenkins@example.org,001-422-447-4652x286,26749 Wendy Points,Port Brooke,NJ,21483,Silver,2026-08-15T13:19:43.036237+00:00
1006,Melinda,Chavez,bakerkaren@example.net,430.998.3593x408,104 Castillo Lodge,East Briannastad,OH,61524,Gold,2026-08-15T13:19:43.036237+00:00
1007,Katelyn,Rodriguez,timothy33@example.com,948-986-3901x30509,009 Jay Flats Apt. 867,South Frederickbury,NJ,26107,Gold,2026-08-15T13:19:43.036237+00:00
1008,Michael,Frazier,hollandelizabeth@example.com,001-628-253-6155x42241,193 Curtis Junctions Suite 170,North Chelsea,NV,88380,Bronze,2026-08-15T13:19:43.037237+00:00
1009,Aaron,Walker,gmoore@example.net,+1-290-685-2160x3520,722 Mcclain Overpass Apt. 593,North Eric,MT,46369,Gold,2026-08-15T13:19:43.037237+00:00
1010,William,Johnston,ftaylor@example.com,(540)827-2979,230 Amanda Manors,Lake Jackie,IA,31336,Bronze,2026-08-15T13:19:43.037237+00:00
1011,Victoria,Lee,jfitzgerald@example.org,001-961-314-5214x3399,280 May Harbor Apt. 639,Allisonhaven,MI,04843,Gold,2026-08-15T13:19:43.037237+00:00
1012,Charles,Turner,dvalentine@example.org,999.542.7905x135,9551 White Falls,West Brandonfurt,FL,60181,Silver,2026-08-15T13:19:43.038237+00:00
1013,Ann,Owens,robert91@example.org,666.656.8123,232 Barnes Springs Suite 464,New Kellystad,DC,76673,Gold,2026-08-15T13:19:43.038237+00:00
1014,Mary,Stone,ihernandez@example.org,362-321-1565,35228 Jennings Glens Suite 236,East Josephbury,AR,33661,Gold,2026-08-15T13:19:43.038237+00:00
1015,Sharon,Aguilar,tina53@example.net,715-617-2000,0875 Deborah Plain Apt. 071,Smithmouth,DC,27312,Gold,2026-08-15T13:19:43.038237+00:00
