customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,segment,source_updated_at
1001,Cole,Massey,heathercarpenter@example.org,(791)331-7255x68116,6718 Welch Corner Apt. 541,North Aaronberg,VI,70484,Silver,2026-08-15T13:20:26.753228+00:00
1002,Laura,Ferguson,kellygreen@example.com,001-913-515-0186x11257,059 Harper Summit,Ericton,IA,23725,Silver,2026-08-15T13:20:26.753228+00:00
1003,Sean,Johnson,jromero@example.com,(625)633-2105x02760,267 Jacqueline Ridges Apt. 756,Lake Jeffreyside,OK,07439,Gold,2026-08-15T13:20:26.753228+00:00
1004,Danielle,Boyer,scampbell@example.org,+1-424-803-3001x289,74800 Bush Estate,Lake Phillipborough,IL,49257,Gold,2026-08-15T13:20:26.754229+00:00
1005,Kenneth,Rodriguez,johnford@example.net,(622)413-2689,52497 Walker Curve,Diazfurt,UT,59741,Silver,2026-08-15T13:20:26.754229+00:00
1006,Monique,Thomas,rachel30@example.com,389.912.1618x182,195 Jessica Brook,South Daniel,FM,46749,Silver,2026-08-15T13:20:26.754229+00:00
1007,Brian,Armstrong,reesethomas@example.com,+1-499-808-9640x303,301 Kevin Shores Suite 892,North Andrea,OK,83723,Bronze,2026-08-15T13:20:26.754229+00:00
1008,Mary,Murphy,scottelizabeth@example.net,(638)559-3364,74570 Brian Views Suite 950,North Mary,MH,30508,Gold,2026-08-15T13:20:26.755227+00:00
1009,Mary,Carter,daniellesanchez@example.net,(258)801-4941x85752,599 Jerome Shore Suite 294,Port Geraldton,PW,79389,Bronze,2026-08-15T13:20:26.755227+00:00
1010,Jason,Mullen,tperkins@example.net,(708)824-5509x6484,84900 Murphy Stravenue Apt. 372,Christychester,HI,58158,Gold,2026-08-15T13:20:26.755227+00:00
1011,Seth,Cook,bergjenna@example.net,(756)959-1760x9600,882 Kathryn Club,North Joseph,AL,57067,Bronze,2026-08-15T13:20:26.755227+00:00
1012,Susan,Reed,thompsontyler@example.com,583.532.6396,379 Nicole Village Suite 580,South Corey,TX,91665,Gold,2026-08-15T13:20:26.756228+00:00
1013,David,Cruz,matthew65@example.com,001-983-772-2538x701,931 Barrera Station Apt. 528,Lake Calvinport,NV,80942,Bronze,2026-08-15T13:20:26.756228+00:00
1014,Karen,Carter,golson@example.net,7373313101,026 Thomas Lights,East Anthonyfort,AS,27104,Silver,2026-08-15T13:20:26.756732+00:00
1015,Melanie,Cox,fwilliams@example.org,789.887.2129x08225,16324 Carlson Mountain Suite 090,South Cherylburgh,WV,46294,Bronze,2026-08-15T13:20:26.756732+00:00
1016,Juan,Bailey,karenmiller@example.org,+1-748-303-0854x4342,351 Adkins Mews,Port Annettehaven,CA,43285,Silver,2026-08-15T13:20:26.756732+00:00
1017,Paul,Boyle,samantha77@example.net,655.759.4923,64630 Perez Centers,Masonland,AK,07285,Silver,2026-08-15T13:20:26.756732+00:00
1018,April,Giles,ortegaolivia@example.com,751.822.7154,3808 Crystal Points Apt. 642,Stephentown,CO,32964,Bronze,2026-08-15T13:20:26.756732+00:00
1019,Heather,Munoz,nnewman@example.net,(216)728-9053,52751 Williams Mission Suite 140,Washingtonmouth,MI,51495,Silver,2026-08-15T13:20:26.756732+00:00
1020,Kayla,Glover,spearsbradley@example.com,418.910.6591x01567,42969 Nixon Cove Suite 553,Lucasside,NV,55869,Silver,2026-08-15T13:20:26.756732+00:00
1021,Danielle,Lewis,benjamincook@example.com,472-556-4607,7271 Patrick Track Apt. 064,Josephstad,MA,89364,Silver,2026-08-15T13:20:26.758235+00:00
1022,Susan,Juarez,lindsey85@example.com,490-722-7399x93276,08750 Terry Harbors Suite 361,North Ashleeview,ND,20332,Silver,2026-08-15T13:20:26.758235+00:00
1023,Derrick,Wall,peggyhammond@example.org,709.975.4833x45724,0348 Frank Stravenue Suite 223,West Christopher,MN,13305,Silver,2026-08-15T13:20:26.758853+00:00
1024,Christopher,Snyder,jeffrey51@example.com,363-945-5016,1804 Sanders Junction,Bestshire,AS,25338,Gold,2026-08-15T13:20:26.758853+00:00
1025,Susan,Smith,alicianicholson@example.net,001-928-960-9422x97566,82069 Kayla Path Suite 563,West Seanville,DC,99074,Silver,2026-08-15T13:20:26.758853+00:00
1026,Catherine,Phillips,joshua00@example.net,498.361.2046,005 Xavier Knolls,South Heather,IA,62375,Gold,2026-08-15T13:20:26.758853+00:00
