customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,segment,source_updated_at
1001,Sandra,Long,brad74@example.net,211-335-5255,031 Rodriguez Rue Apt. 030,Terrimouth,WI,56944,Silver,2026-08-15T13:20:19.915186+00:00
1002,Stacey,Willis,tara70@example.com,363-488-0721x7593,1961 Cooper Key Apt. 532,Alexanderbury,NJ,22709,Bronze,2026-08-15T13:20:19.915186+00:00
1003,Justin,Campbell,ashleydavis@example.net,001-423-556-9238x6774,86125 Rosario Dam Apt. 210,Hendersonmouth,WI,91029,Gold,2026-08-15T13:20:19.916186+00:00
1004,David,Allen,cwalker@example.org,786-331-4249,65717 Samantha Ranch Apt. 899,Jessicaton,WA,52717,Gold,2026-08-15T13:20:19.916186+00:00
1005,Carmen,Ramsey,keithbryan@example.org,899.893.8265,96737 James Avenue,East Tiffanybury,OH,86965,Bronze,2026-08-15T13:20:19.916186+00:00
1006,Amanda,James,sheliaoconnell@example.com,+1-905-846-1253x683,73953 Perry Extension,East Tammyton,PR,47073,Gold,2026-08-15T13:20:19.916690+00:00
1007,Mathew,Santos,timothy79@example.org,001-479-443-7810x7437,39050 David Mission,New Robert,AS,67970,Silver,2026-08-15T13:20:19.916690+00:00
1008,Susan,Strong,james40@example.org,001-460-223-8276,29054 Zavala Circle Suite 788,Rodrigueztown,TN,76823,Gold,2026-08-15T13:20:19.916690+00:00
1009,Richard,Daniels,heidi09@example.org,001-777-327-4292x751,145 Lindsey Brook,Port Michaelfort,CO,52255,Silver,2026-08-15T13:20:19.916690+00:00
1010,Gregory,Hooper,tonyamedina@example.com,223-495-8070x626,3523 Shawn Street,New Barry,IA,49009,Silver,2026-08-15T13:20:19.916690+00:00
1011,James,English,sharon30@example.org,(555)555-2082,1448 Lisa Inlet,North Katrina,GA,40906,Gold,2026-08-15T13:20:19.916690+00:00
1012,Bryan,Mooney,harrismary@example.net,+1-490-681-6503x58119,88929 Figueroa Shores Suite 323,Port Sarahberg,VA,23055,Silver,2026-08-15T13:20:19.916690+00:00
1013,Ariel,Cochran,victoriachan@example.net,352.887.9072x80552,3730 Melissa Expressway,New Angelaville,GU,59741,Silver,2026-08-15T13:20:19.918192+00:00
1014,Alex,Wright,rrussell@example.net,3972934756,9108 Perkins Port,South Austin,CA,83163,Gold,2026-08-15T13:20:19.918192+00:00
1015,Daniel,Jarvis,haynesjared@example.net,490-832-4584,882 Burns Wall Suite 342,Lake Erikastad,NM,10162,Bronze,2026-08-15T13:20:19.918192+00:00
1016,Nicholas,Dixon,brianamcdonald@example.net,678-439-7595x3200,41278 Anthony Skyway,Morganburgh,AK,98216,Silver,2026-08-15T13:20:19.919051+00:00
1017,David,Vasquez,smithlauren@example.com,6799493245,6054 Barrera Forks,New Sharonville,MD,13832,Gold,2026-08-15T13:20:19.919051+00:00
1018,Alexandra,Thompson,wwilliams@example.com,001-236-366-5705,738 Brittany Causeway Apt. 930,Port David,CA,54678,Silver,2026-08-15T13:20:19.919051+00:00
1019,Lindsey,George,gloria43@example.net,(532)425-1755x299,7298 Hardy Canyon,Mikaylaview,VA,51391,Bronze,2026-08-15T13:20:19.919051+00:00
1020,Jean,Cannon,amycastillo@example.com,513-323-2284x6967,93296 Baker Fords,Priceside,NC,24535,Gold,2026-08-15T13:20:19.919051+00:00
1021,Nancy,Murphy,devin70@example.com,(594)738-5422x879,3856 Mitchell Village,Juanhaven,NH,99873,Bronze,2026-08-15T13:20:19.920055+00:00
1022,Christopher,Adams,ijenkins@example.net,773-733-7975x881,69389 Gina Port,Harveymouth,DC,67288,Silver,2026-08-15T13:20:19.920055+00:00
1023,Cindy,Hudson,autumnvaldez@example.com,815.618.2488x527,4652 Deanna Mission Apt. 633,New Joefurt,NV,62064,Bronze,2026-08-15T13:20:19.920055+00:00
1024,Jason,Jackson,nchambers@example.org,001-845-948-6546x1053,520 Crystal Plaza,West Ginamouth,MS,03394,Gold,2026-08-15T13:20:19.920055+00:00
1025,Charles,Scott,nelsonbenjamin@example.net,(819)609-8438x220,5886 Rojas Islands Suite 385,Jeremychester,OR,81389,Silver,2026-08-15T13:20:19.921055+00:00
1026,Deborah,Martinez,qjohnson@example.net,+1-349-454-2896x810,4739 Chase Estates,South Elijah,IA,32672,Bronze,2026-08-15T13:20:19.921055+00:00
1027,Suzanne,Mccarthy,loweashley@example.org,910-676-4270x7524,5519 Brown Ford Suite 333,North Martha,IA,77419,Bronze,2026-08-15T13:20:19.921055+00:00
1028,Ashley,Anderson,ashley86@example.org,262-876-3591,08930 Jones Pines Suite 785,East Derekside,OK,60275,Gold,2026-08-15T13:20:19.921055+00:00
1029,Jamie,Martin,kswanson@example.org,001-304-432-2992x13246,28103 Taylor Park Apt. 559,East Angela,MN,95608,Silver,2026-08-15T13:20:19.922054+00:00
1030,Christopher,Cruz,christophergonzales@example.org,+1-274-324-4801x53083,4931 John Stravenue,Westtown,MS,08272,Gold,2026-08-15T13:20:19.922054+00:00
1031,Sharon,Cruz,andrewmcmillan@example.org,2116388282,045 Cruz Harbors,West Wendy,ID,12276,Silver,2026-08-15T13:20:19.922054+00:00
1032,Maria,Stephenson,tchristian@example.org,+1-962-696-3663,94008 Barton Square Suite 664,Davidville,OK,57630,Bronze,2026-08-15T13:20:19.922054+00:00
1033,Stephen,Stanton,marshallronald@example.net,2225096463,1710 Jaime Plain,East Rodney,IA,04289,Silver,2026-08-15T13:20:19.922054+00:00
1034,Jason,Lloyd,brooke17@example.com,810-254-9240x6609,902 Rollins Corners,South Travisfurt,NC,86130,Bronze,2026-08-15T13:20:19.923054+00:00
1035,Katherine,Nguyen,stephen22@example.net,4323551051,01011 Cynthia Light,East Jonathanland,KY,41808,Silver,2026-08-15T13:20:19.923054+00:00
1036,Billy,Mcdonald,matthew95@example.net,001-690-255-6066x3813,8623 Misty Crossroad,South Cindy,FM,87631,Bronze,2026-08-15T13:20:19.923054+00:00
1037,David,Brandt,ewong@example.com,377.312.3342,30292 Williams Brook Suite 852,Port Blakemouth,IL,54959,Silver,2026-08-15T13:20:19.923054+00:00
1038,David,Flores,waltonkenneth@example.net,732.951.4601x63654,491 Jordan Corner Suite 666,Sanchezstad,DE,86016,Bronze,2026-08-15T13:20:19.923054+00:00
1039,Mark,Smith,tcampos@example.com,447-481-4332x17186,33517 Michelle Passage,Scottburgh,PR,16961,Bronze,2026-08-15T13:20:19.923054+00:00
1040,Daniel,Moore,kevintate@example.org,001-209-486-2408,00257 Jason Station,Sandraside,FM,78722,Bronze,2026-08-15T13:20:19.924054+00:00
1041,John,Hamilton,rodney77@example.org,503.805.9104x381,5627 Rebecca Bypass Apt. 728,Lake Bruce,OK,18171,Bronze,2026-08-15T13:20:19.924054+00:00
1042,Heather,Harvey,wilsonerica@example.org,6276600153,5085 Jason Pine,South Jacqueline,RI,05847,Bronze,2026-08-15T13:20:19.924054+00:00
1043,Courtney,Todd,vpark@example.net,(640)735-9429,2682 Ramirez Isle,Rodriguezview,ID,09375,Gold,2026-08-15T13:20:19.924054+00:00
1044,Kristy,Smith,frank90@example.com,001-422-641-8645x143,3086 Michael Mills Apt. 367,Jamesmouth,FL,77868,Bronze,2026-08-15T13:20:19.924054+00:00
1045,Justin,Martin,mary26@example.org,001-658-677-7663x8209,23839 Daniels Street,Lake Kristinmouth,NV,32401,Silver,2026-08-15T13:20:19.925054+00:00
1046,Victoria,Castro,seth72@example.org,204-649-3177,494 Martinez Meadow Apt. 795,Moniquefurt,KY,66943,Silver,2026-08-15T13:20:19.925054+00:00
1047,Dylan,Thompson,johnmitchell@example.net,507.400.4506x8083,816 Vincent Harbor,New Yolanda,KS,71876,Gold,2026-08-15T13:20:19.925054+00:00
1048,Emily,Malone,meganlawson@example.org,867.279.9533,906 Williams Brook Suite 311,South Johnside,PR,89166,Gold,2026-08-15T13:20:19.925054+00:00
1049,Anthony,Brewer,nskinner@example.net,+1-730-622-1174x52321,3814 Kristin Common Suite 641,Tuckershire,MP,09058,Silver,2026-08-15T13:20:19.925054+00:00
1050,Joanne,Glenn,ngonzales@example.org,001-864-936-7345x4698,9649 Timothy Shoal,Thomasshire,FM,36445,Silver,2026-08-15T13:20:19.926054+00:00
1051,William,Harrison,dan17@example.net,271-837-7230x65192,518 Ebony Motorway Apt. 495,Jamesshire,ME,66448,Gold,2026-08-15T13:20:19.926054+00:00
1052,Jeff,Wilson,lisagutierrez@example.net,+1-943-872-5406,8248 Gonzales Trail,Maryfurt,NH,37028,Silver,2026-08-15T13:20:19.926557+00:00
1053,Jacqueline,Wright,delgadorichard@example.net,001-501-534-1991,885 Glenn Manors Suite 370,East Roger,AZ,16746,Silver,2026-08-15T13:20:19.926557+00:00
1054,Allison,Cross,michaeledwards@example.org,250-866-0136,4862 William Flats,Lake Denise,VA,80134,Gold,2026-08-15T13:20:19.926557+00:00
1055,Anna,Davenport,lorrainewalsh@example.org,339-371-4715x7223,921 Swanson Mall Suite 376,Nealborough,AR,21918,Bronze,2026-08-15T13:20:19.926557+00:00
1056,Kendra,Campos,summerlozano@example.net,+1-475-408-4078x306,432 Mark Lodge Apt. 426,Jacobfurt,MN,32748,Silver,2026-08-15T13:20:19.926557+00:00
1057,Joanna,Perry,jjones@example.org,970-618-9781x3902,24300 Lauren Lodge,Port Karen,HI,99120,Gold,2026-08-15T13:20:19.926557+00:00
